2025-01-04 21:32:34 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=400, process_time=0.00 seconds - User: iradi
2025-01-04 21:33:24 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.22 seconds - User: iradi
2025-01-04 21:33:24 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=400, process_time=0.00 seconds - User: iradi
2025-01-04 21:34:28 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.23 seconds - User: iradi
2025-01-04 21:34:28 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:35:31 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.12 seconds - User: iradi
2025-01-04 21:35:31 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:38:11 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.11 seconds - User: iradi
2025-01-04 21:38:11 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:38:49 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/api/v1/line_balance/create_task, client=192.168.0.168, status_code=200, process_time=0.02 seconds - User: iradi
2025-01-04 21:38:49 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.11 seconds - User: iradi
2025-01-04 21:38:49 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:39:04 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/api/v1/line_balance/create_task, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:39:04 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.11 seconds - User: iradi
2025-01-04 21:39:04 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:39:04 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.11 seconds - User: iradi
2025-01-04 21:39:04 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:39:05 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:39:05 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:40:06 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/api/v1/line_balance/create_task, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:40:06 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.13 seconds - User: iradi
2025-01-04 21:40:06 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:40:12 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/api/v1/line_balance/create_task, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:40:12 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:40:12 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
